file name,file size,number of words,% negative,% positive,% uncertainty,% litigious,% strong modal,% weak modal,% constraining,# of alphabetic,# of digits,# of numbers,avg # of syllables per word,average word length,vocabulary,net neg
Jan-06,33362,4286,1.563229118,1.376574895,0.956602893,0.233317779,0.44330378,0.209986001,0.093327112,596.8268782,1122,415,1.828044797,5.517032198,891,0.186654223
Mar-06,33828,4304,1.301115242,1.184944238,0.999070632,0.232342007,0.32527881,0.30204461,0.116171004,597.2583643,1237,471,1.834572491,5.536942379,905,0.116171004
Apr-06,35346,4659,1.545396008,1.116119339,0.729770337,0.257566001,0.343421335,0.171710668,0.085855334,577.3771196,1279,474,1.784717751,5.450525864,901,0.429276669
May-06,36114,4768,1.552013423,1.069630872,1.237416107,0.272651007,0.461409396,0.251677852,0.104865772,569.840604,1360,494,1.789219799,5.419463087,1123,0.48238255
Jul-06,39148,5262,1.463321931,0.931204865,0.988217408,0.228050171,0.399087799,0.247054352,0.076016724,561.8206005,1391,507,1.765298366,5.372291904,942,0.532117066
Aug-06,41929,5630,1.456483126,1.243339254,0.941385435,0.230905861,0.230905861,0.319715808,0.071047957,568.0639432,1360,514,1.784191829,5.403552398,1011,0.213143872
Oct-06,41312,5442,1.267916207,0.826901874,0.937155458,0.238882764,0.238882764,0.312385153,0.110253583,578.6291804,1401,528,1.790518192,5.443403161,954,0.441014333
Nov-06,46348,6011,1.214440193,0.964897688,0.765263683,0.232906338,0.266178672,0.216270171,0.16636167,588.2548661,1576,589,1.803526867,5.47013808,1012,0.249542505
Jan-07,45900,5915,1.098901099,1.048182587,0.811496196,0.270498732,0.287404903,0.202874049,0.135249366,591.1242604,1664,608,1.821639899,5.501267963,994,0.050718512
Mar-07,49052,6286,1.272669424,1.018135539,0.970410436,0.238625517,0.334075724,0.238625517,0.159083678,592.5867006,1843,670,1.809576837,5.515749284,1063,0.254533885
Apr-07,48510,6378,1.144559423,0.878018188,0.925054876,0.297899028,0.235183443,0.235183443,0.12543117,577.5478206,1768,657,1.798682973,5.49247413,1032,0.266541235
Jun-07,48389,6449,0.821832842,0.961389363,0.759807722,0.248100481,0.263606761,0.201581641,0.06202512,569.6231974,1689,624,1.796092417,5.451542875,1081,-0.13955652
Jul-07,51453,6884,1.074956421,1.074956421,0.842533411,0.290528762,0.276002324,0.188843696,0.072632191,566.5746659,1814,667,1.792126671,5.431725741,1101,0
Sep-07,48277,6499,1.246345592,0.953992922,1.00015387,0.323126635,0.400061548,0.276965687,0.138482844,568.8413602,1555,580,1.808124327,5.453146638,1095,0.29235267
Oct-07,51092,6840,1.067251462,0.891812865,0.921052632,0.263157895,0.248538012,0.14619883,0.116959064,573.9912281,1655,605,1.807163743,5.470906433,1103,0.175438596
Dec-07,49334,6480,1.157407407,0.817901235,0.941358025,0.24691358,0.24691358,0.169753086,0.12345679,581.8055556,1673,602,1.8,5.442746914,1058,0.339506173
Jan-08,51441,6687,1.315986242,0.732765067,0.942126514,0.209361448,0.299087782,0.179452669,0.194407058,584.357709,1972,684,1.841333932,5.490055331,1088,0.583221175
Mar-08,51587,6706,1.386817775,0.999105279,1.133313451,0.253504324,0.342976439,0.223680286,0.208768267,591.3510289,1720,606,1.854458694,5.543841336,1106,0.387712496
Apr-08,54943,7318,1.202514348,0.860890954,1.093194862,0.204974037,0.314293523,0.204974037,0.218638972,577.5211807,1736,629,1.829461602,5.489068051,1147,0.341623394
