file name,file size,number of words,% negative,% positive,% uncertainty,% litigious,% strong modal,% weak modal,% constraining,# of alphabetic,# of digits,# of numbers,avg # of syllables per word,average word length,vocabulary,net neg
Jan-08,19457,2696,2.485163205,1.224035608,1.112759644,0.111275964,0.148367953,0.482195846,0.037091988,556.5652819,474,198,1.675074184,5.077151335,598,1.261127596
Apr-08,52711,7387,2.220116421,0.961147963,1.434953296,0.054149181,0.338432381,0.473805334,0.121835657,549.4652768,1428,567,1.697576824,5.168810072,1168,1.258968458
Jul-08,22011,3092,2.005174644,1.034928849,1.455368693,0.064683053,0.09702458,0.452781371,0.032341527,547.0892626,596,234,1.679818887,5.080853816,704,0.970245796
Oct-08,55839,7609,2.759889604,0.683401235,1.485083454,0.026284663,0.420554606,0.302273623,0.170850309,564.2002891,1571,629,1.754501249,5.27835458,1261,2.076488369
Jan-09,28029,3618,2.985074627,0.884466556,1.050304035,0.165837479,0.276395799,0.193477059,0.193477059,567.3300166,1436,627,1.751796573,5.250414594,840,2.100608071
Apr-09,76477,10299,2.543936304,1.077774541,1.23312943,0.155354889,0.660258278,0.301000097,0.330129139,560.607826,2535,990,1.762889601,5.286532673,1554,1.466161763
Jul-09,60737,7753,2.502257191,1.44460209,1.53488972,0.116084096,0.322455824,0.361150522,0.206371727,575.8674062,2865,1113,1.801367213,5.358054946,1225,1.057655101
Oct-09,70293,9175,1.972752044,1.340599455,1.31880109,0.108991826,0.392370572,0.414168937,0.141689373,563.9346049,3219,1273,1.765013624,5.26746594,1312,0.632152589
Jan-10,61499,7755,1.869761444,1.482914249,1.534493875,0.154738878,0.309477756,0.464216634,0.270793037,581.1734365,2941,1142,1.785686654,5.341843972,1181,0.386847195
Apr-10,62084,7921,1.666456256,1.489710895,1.363464209,0.075748012,0.429238732,0.467112738,0.290367378,577.1998485,2916,1089,1.790430501,5.383284939,1126,0.17674536
Jul-10,72753,9445,2.435150873,0.974060349,1.545791424,0.063525675,0.275277925,0.476442562,0.105876125,572.7263102,2955,1187,1.787188989,5.337956591,1323,1.461090524
Oct-10,66380,8405,2.367638311,1.177870315,1.261154075,0.07138608,0.309339679,0.297441999,0.273646639,579.8453302,3078,1231,1.799405116,5.447471743,1231,1.189767995
Apr-11,78592,10239,1.953315753,1.552886024,1.162222873,0.07813263,0.332063678,0.410196308,0.224631312,576.8825081,3363,1313,1.795683172,5.418986229,1415,0.400429729
Jul-11,75291,9865,2.392295996,1.22655854,1.277242777,0.131779017,0.212873796,0.334515966,0.212873796,575.2863659,2956,1176,1.798378104,5.423213381,1321,1.165737456
Oct-11,82775,10773,2.998236332,1.030353662,1.522324329,0.129954516,0.362016151,0.287756428,0.157801912,578.4832451,3615,1418,1.800426993,5.417246821,1443,1.96788267
Apr-12,86900,11190,1.81411975,1.411974978,1.349419124,0.134048257,0.214477212,0.500446828,0.134048257,582.1537087,3956,1472,1.788382484,5.361394102,1476,0.402144772
Jul-12,85496,11025,2.358276644,0.988662132,1.260770975,0.154195011,0.19047619,0.308390023,0.172335601,579.5646259,4144,1582,1.787755102,5.372789116,1458,1.369614512
Oct-12,82138,10459,2.66755904,1.080409217,1.501099532,0.105172579,0.277273162,0.35376231,0.248589731,588.6796061,3650,1439,1.807629793,5.417630749,1427,1.587149823
Jan-13,81717,10357,2.413826398,1.110360143,1.371053394,0.154484889,0.260693251,0.289659168,0.154484889,585.0439316,3966,1549,1.799073091,5.412571208,1546,1.303466255
Apr-13,91419,11562,2.516865594,1.141670991,1.271406331,0.112437295,0.224874589,0.320013838,0.233523612,583.7917315,4440,1685,1.810153953,5.416623422,1504,1.375194603
Jul-13,82889,10556,2.302008336,1.146267526,1.231527094,0.217885563,0.293671845,0.388404699,0.312618416,583.5543767,3762,1470,1.810818492,5.430655551,1539,1.155740811
Jan-14,53514,6805,1.763409258,1.410727406,1.454812638,0.10286554,0.455547392,0.41146216,0.117560617,579.8236591,2650,1046,1.787656135,5.367817781,1166,0.352681852
Apr-14,64632,8397,1.714898178,1.202810528,1.941169465,0.130999166,0.452542575,0.631177802,0.238180302,581.0051209,2501,996,1.793735858,5.392402048,1426,0.51208765
Jul-14,65063,8653,2.415347278,1.109441812,1.883739743,0.092453484,0.450710736,0.566277592,0.20802034,570.7731423,2359,944,1.793250896,5.359181787,1487,1.305905466
Oct-14,84070,11126,2.579543412,1.096530649,1.65378393,0.062915693,0.27862664,0.593205105,0.170771167,570.4026604,3373,1312,1.783390257,5.350710049,1630,1.483012763
Jan-15,70131,9400,2.35106383,1.117021277,1.542553191,0.095744681,0.468085106,0.468085106,0.159574468,562.9361702,2527,1052,1.742446809,5.241170213,1459,1.234042553
