Date	Out	Cap	Total
Apr2012	10	2	1502
Apr2013	18	5	1467
Apr2016	11	6	1236
Apr2017	18	6	1456
Apr2018	42	9	2446
Aug2012	25	4	1022
Aug2014	18	2	1086
Aug2015	11	3	1002
Aug2016	8	8	1293
Aug2017	44	8	2991
Dec2011	10	4	1313
Dec2012	17	1	1039
Dec2013	16	8	1554
Dec2014	12	5	1605
Dec2015	7	10	1330
Dec2016	14	9	1354
Dec2017	53	5	2590
Feb2012	12	4	795
Feb2014	14	9	1417
Feb2015	6	15	1745
Feb2016	8	6	1060
Feb2017	10	7	1087
Feb2018	42	15	2928
Jan2011	27	2	1148
Jan2013	18	3	1023
Jul2011	19	4	1311
Jul2013	34	8	1579
Jul2014	16	1	1396
Jul2017	45	10	2822
Jun2011	25	7	1271
Jun2012	20	3	1210
Jun2013	24	11	1709
Jun2015	9	1	1311
Jun2016	15	9	1557
Jun2017	47	12	3016
Mar2011	16	1	1225
Mar2013	17	13	1288
Mar2014	22	9	1434
Mar2015	14	10	1504
May2011	15	2	1099
May2012	11	1	1337
May2014	19	5	1446
May2015	12	2	1333
May2016	9	6	1331
May2018	37	12	2587
Nov2011	26	4	899
Nov2014	22	5	1194
Nov2015	2	14	1123
Nov2016	10	7	1302
Nov2017	34	7	2476
Oct2012	20	5	1269
Oct2013	21	11	1539
Oct2014	10	2	1127
Oct2017	46	8	2857
Sep2011	19	4	1161
Sep2012	25	5	1086
Sep2013	14	9	1277
Sep2015	4	14	1225
Sep2016	10	7	1359
