date,file size,number of words,% negative,% positive,% uncertainty,% litigious,% strong modal,% weak modal,% constraining,# of alphabetic,# of digits,# of numbers,avg # of syllables per word,average word length,vocabulary,net neg
3/1/03,17217,2619,1.718213058,0.687285223,1.221840397,0.114547537,0.305460099,0.420007637,0.15273005,523.9404353,353,109,1.686903398,5.038182512,683,1.030927835
6/1/03,10749,1633,2.082057563,0.734843846,1.102265769,0.244947949,0.244947949,0.42865891,0.306184936,513.2884262,318,101,1.660134721,4.921004287,479,1.347213717
8/1/03,9725,1496,1.938502674,0.868983957,0.735294118,0.06684492,0.601604278,0.401069519,0.200534759,512.7673797,235,70,1.647058824,4.987299465,446,1.069518717
9/1/03,6587,958,1.774530271,1.670146138,0.521920668,0.104384134,0.104384134,0.104384134,0,544.9895616,127,48,1.701461378,5.176409186,361,0.104384134
10/1/03,10173,1555,1.736334405,0.836012862,0.836012862,0.257234727,0.450160772,0.450160772,0.128617363,516.5273312,241,78,1.663665595,5.004501608,460,0.900321543
12/1/03,11541,1722,1.742160279,0.987224158,0.871080139,0.290360046,0.81300813,0.464576074,0,537.340302,212,72,1.709639954,5.18873403,487,0.754936121
2/1/04,11468,1738,1.553509781,0.86306099,1.035673188,0.287686997,0.575373993,0.517836594,0.287686997,519.2174914,309,93,1.668009206,5.004602992,478,0.690448792
4/1/04,10693,1641,1.889092017,0.914076782,1.157830591,0.060938452,0.487507617,0.548446069,0.121876904,518.1596587,219,67,1.647166362,4.995734308,466,0.975015235
6/1/04,9778,1464,1.024590164,0.887978142,1.297814208,0.409836066,0.546448087,0.546448087,0.204918033,526.2295082,269,84,1.68715847,5.109972678,483,0.136612022
8/1/04,12828,1964,2.087576375,0.967413442,1.120162933,0.152749491,0.305498982,0.66191446,0.203665988,520.1120163,246,77,1.664460285,5.011201629,559,1.120162933
10/1/04,10302,1552,1.481958763,0.579896907,1.224226804,0.193298969,0.386597938,0.579896907,0.193298969,526.5463918,233,74,1.676546392,5.052190722,448,0.902061856
12/1/04,12819,1921,1.249349297,1.249349297,1.405517959,0.156168662,0.676730869,0.989068194,0.468505986,536.1790734,221,75,1.705882353,5.159812598,561,0
2/1/05,11320,1732,1.212471132,1.212471132,0.981524249,0.057736721,0.404157044,0.635103926,0.230946882,514.4341801,293,99,1.6426097,4.966512702,477,0
4/1/05,12569,1900,1.526315789,1,1.105263158,0.157894737,0.421052632,0.473684211,0.105263158,530.5789474,186,76,1.672105263,5.101578947,506,0.526315789
6/1/05,11277,1713,1.51780502,0.525394046,0.934033859,0.058377116,0.291885581,0.583771162,0.175131349,525.2772913,179,71,1.657326328,5.061295972,455,0.992410975
8/1/05,11967,1789,1.565120179,1.285634433,0.950251537,0.279485746,0.558971492,0.558971492,0.111794298,533.1470095,206,74,1.676355506,5.152599217,527,0.279485746
10/1/05,10847,1625,1.476923077,1.169230769,1.169230769,0.184615385,0.369230769,0.553846154,0.123076923,532.8,177,68,1.686153846,5.142769231,456,0.307692308
12/1/05,10872,1621,2.097470697,0.987045034,1.172115978,0.123380629,0.246761258,0.616903146,0,535.101789,178,68,1.660086366,5.083281925,478,1.110425663
2/1/06,10685,1554,1.544401544,1.48005148,1.415701416,0.128700129,0.064350064,0.707850708,0,546.2676963,223,74,1.677606178,5.177606178,463,0.064350064
8/1/06,11471,1703,2.055196712,0.763358779,1.761597181,0.176159718,0.29359953,0.704638873,0.176159718,537.1697005,193,64,1.692894891,5.195537287,512,1.291837933
10/1/06,12637,1918,1.772679875,1.042752868,1.355578728,0.052137643,0.31282586,0.729927007,0.052137643,527.4765381,180,70,1.6725756,5.122002086,539,0.729927007
12/1/06,12439,1844,1.952277657,1.084598698,1.464208243,0.379609544,0.271149675,0.596529284,0.054229935,540.7266811,213,77,1.693058568,5.151843818,544,0.867678959
2/1/07,12473,1873,1.655098772,1.548318206,1.601708489,0.266951415,0.106780566,0.800854245,0.160170849,530.4858516,243,79,1.64335291,5.08115323,516,0.106780566
4/1/07,12237,1798,1.890989989,1.501668521,1.27919911,0.111234705,0.22246941,0.556173526,0.055617353,538.487208,270,89,1.655728587,5.112903226,502,0.389321468
8/1/07,12151,1837,1.95971693,0.707675558,1.360914535,0.326619488,0.217746326,0.653238977,0.217746326,522.4823081,263,87,1.64888405,5.059335874,512,1.252041372
10/1/07,11604,1731,2.137492779,0.693240901,1.386481802,0.11554015,0.2310803,0.404390526,0.11554015,532.4090121,222,81,1.656845754,5.116117851,472,1.444251878
12/1/07,10089,1481,2.295746117,0.675219446,1.89061445,0.135043889,0.067521945,0.675219446,0.202565834,547.9405807,158,58,1.726536124,5.296421337,456,1.620526671
1/1/08,8804,1308,2.752293578,0.611620795,2.675840979,0.229357798,0.229357798,1.070336391,0.382262997,537.3853211,180,60,1.671253823,5.171253823,405,2.140672783
