file name,file size,number of words,% negative,% positive,% uncertainty,% litigious,% strong modal,% weak modal,% constraining,# of alphabetic,# of digits,# of numbers,avg # of syllables per word,average word length,vocabulary,net neg
May-10,21968,3198,2.626641651,0.687929956,2.657911194,0.09380863,0.09380863,1.282051282,0.375234522,559.1307067,227,99,1.803314572,5.426516573,793,1.938711695
Jun-10,21341,3172,2.11223203,0.598991173,1.702395965,0.063051702,0.126103405,0.662042875,0.157629256,542.2761665,265,115,1.723833544,5.261979823,751,1.513240858
Jul-10,22324,3377,2.043233639,0.562629553,2.043233639,0.148060409,0.059224163,0.917974534,0.296120817,534.5572994,216,101,1.704767545,5.187148357,759,1.480604086
Aug-10,23896,3620,1.988950276,1.436464088,2.209944751,0.110497238,0.082872928,0.939226519,0.110497238,531.3535912,255,112,1.662983425,5.133977901,829,0.552486188
Sep-10,18762,2790,2.043010753,1.111111111,2.544802867,0.250896057,0.215053763,0.501792115,0.071684588,544.9103943,179,86,1.713978495,5.249462366,746,0.931899642
Oct-10,24244,3607,1.940670918,1.10895481,2.578319933,0.110895481,0.02772387,1.303021902,0.166343222,544.1086776,255,116,1.735237039,5.262267813,840,0.831716108
Nov-10,25583,3767,1.805149987,0.929121317,2.203344837,0.026546323,0.15927794,1.03530661,0.15927794,552.5086276,243,115,1.753650119,5.3530661,839,0.87602867
Dec-10,24229,3618,1.326699834,0.746268657,2.21116639,0.05527916,0.05527916,1.326699834,0.138197899,541.7634052,243,111,1.716694306,5.220011056,748,0.580431177
Jan-11,23788,3562,1.909039865,0.870297586,2.442448063,0.140370578,0.084222347,1.319483436,0.084222347,539.3599102,271,115,1.698203257,5.196799551,787,1.03874228
Feb-11,25387,3783,2.008987576,0.634417129,2.564102564,0.079302141,0.132170235,1.136664023,0.237906423,543.1932329,277,123,1.720592123,5.246365319,830,1.374570447
Mar-11,24847,3718,2.124798279,0.511027434,2.339967725,0.188273265,0.026896181,0.860677784,0.053792361,540.6939215,275,113,1.694728349,5.19795589,797,1.613770845
Apr-11,25465,3843,1.899557637,0.6245121,2.263856362,0.156128025,0.052042675,1.092896175,0.2081707,536.7421285,250,114,1.716107208,5.190736404,810,1.275045537
May-11,28266,4254,2.491772449,0.77574048,2.115655853,0.164551011,0.117536436,1.081335214,0.141043724,539.5862717,237,109,1.721438646,5.229431124,927,1.71603197
Jun-11,23448,3501,2.599257355,0.9711511,2.742073693,0.257069409,0.028563268,1.285347044,0.142816338,542.9305913,213,96,1.73636104,5.270779777,809,1.628106255
Jul-11,23056,3488,2.178899083,0.573394495,2.350917431,0.114678899,0.114678899,0.974770642,0.172018349,536.9552752,172,86,1.712155963,5.203555046,801,1.605504587
Aug-11,27449,4082,2.694757472,0.685938266,2.572268496,0.04899559,0.097991181,0.930916218,0.146986771,547.4277315,211,103,1.760411563,5.317981382,861,2.008819206
Sep-11,24830,3701,3.215347203,0.459335315,2.188597676,0.162118346,0.135098622,0.756552283,0.135098622,547.0143205,186,91,1.721696839,5.289381248,834,2.756011889
Oct-11,23585,3485,3.18507891,0.631276901,1.692969871,0.057388809,0.114777618,0.746054519,0.200860832,549.7274032,248,109,1.753228121,5.301291248,864,2.553802009
